YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2021,2,4,4/1/2021 12:00:00 AM,AS,N253AK,115,SEA,ANC,2015,2010,0.00,0.00,,193.00,1448.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N265AK,157,PHX,ANC,1830,1847,17.00,0.00,,329.00,2552.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N270AK,111,SEA,ANC,1915,1951,36.00,0.00,,191.00,1448.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,AS,N270AK,172,ANC,PHX,2355,2359,4.00,0.00,,301.00,2552.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N282AK,69,KTN,JNU,1955,1939,0.00,0.00,,60.00,234.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N282AK,69,SEA,KTN,1805,1801,0.00,0.00,,101.00,680.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N284AK,193,LAX,ANC,1935,2026,51.00,0.00,,305.00,2345.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,AS,N294AK,102,ANC,SEA,1545,1546,1.00,0.00,,173.00,1448.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N294AK,93,SEA,ANC,1200,1217,17.00,0.00,,197.00,1448.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N298AK,134,ANC,PDX,0045,0047,2.00,0.00,,193.00,1542.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N407AS,110,ANC,SEA,0345,0426,41.00,0.00,,174.00,1448.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,AS,N413AS,176,JNU,SEA,0530,0521,0.00,0.00,,116.00,909.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,AS,N453AS,104,ANC,SEA,1900,1855,0.00,0.00,,175.00,1448.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N453AS,97,SEA,ANC,1400,1400,0.00,0.00,,193.00,1448.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N461AS,127,SEA,ANC,2250,2257,7.00,0.00,,200.00,1448.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N461AS,86,ANC,SEA,0800,0758,0.00,0.00,,177.00,1448.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N471AS,84,ANC,SEA,0900,0856,0.00,0.00,,172.00,1448.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N491AS,143,PDX,ANC,2025,2021,0.00,0.00,,203.00,1542.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N491AS,150,ANC,LAX,2350,2357,7.00,0.00,,280.00,2345.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N495AS,234,FAI,SEA,0110,0110,0.00,0.00,,188.00,1533.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N506AS,92,ANC,SEA,0430,0521,51.00,0.00,,173.00,1448.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,AS,N513AS,82,ANC,SEA,0600,0553,0.00,0.00,,178.00,1448.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N520AS,101,SEA,ANC,1015,1017,2.00,0.00,,193.00,1448.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N520AS,1491,ANC,FAI,1910,1856,0.00,0.00,,45.00,261.00,
