YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2021,1,2,2/1/2021 12:00:00 AM,AS,N247AK,121,SEA,ANC,2215,2205,0.00,0.00,,201.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N260AK,60,JNU,KTN,0725,0706,0.00,0.00,,40.00,234.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N260AK,60,KTN,SEA,0920,0904,0.00,0.00,,95.00,680.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N274AK,119,SEA,ANC,2115,2110,0.00,0.00,,191.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N284AK,223,SEA,FAI,2130,2125,0.00,0.00,,201.00,1533.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N285AK,87,SEA,ANC,0850,0846,0.00,0.00,,195.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N285AK,98,ANC,SEA,1345,1341,0.00,0.00,,173.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N287AK,110,ANC,SEA,0045,0055,10.00,0.00,,174.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N419AS,124,FAI,SEA,1535,1519,0.00,0.00,,181.00,1533.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N419AS,1465,SEA,FAI,1145,1137,0.00,0.00,,195.00,1533.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N428AS,116,ANC,SEA,0500,0456,0.00,0.00,,170.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N433AS,186,JNU,SEA,0600,0548,0.00,0.00,,117.00,909.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N464AS,115,SEA,ANC,1945,1932,0.00,0.00,,194.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N468AS,104,ANC,SEA,1805,1758,0.00,0.00,,172.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N468AS,93,SEA,ANC,1135,1131,0.00,0.00,,200.00,1448.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,AS,N478AS,114,ANC,SEA,0145,0138,0.00,0.00,,171.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N481AS,107,SEA,ANC,1745,1743,0.00,0.00,,203.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N481AS,156,FAI,SEA,0130,0127,0.00,0.00,,195.00,1533.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N486AS,84,ANC,SEA,0730,0724,0.00,0.00,,185.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N491AS,75,SEA,JNU,1550,1550,0.00,0.00,,118.00,909.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N492AS,97,SEA,ANC,1355,1357,2.00,0.00,,197.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N512AS,127,SEA,ANC,2320,2323,3.00,0.00,,195.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N518AS,43,ANC,BET,1120,1112,0.00,0.00,,64.00,399.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N518AS,44,BET,ANC,1330,1336,6.00,0.00,,54.00,399.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N563AS,83,SEA,ANC,0715,0726,11.00,0.00,,200.00,1448.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,AS,N563AS,92,ANC,SEA,1130,1121,0.00,0.00,,175.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N564AS,824,ANC,OGG,0945,0937,0.00,0.00,,315.00,2797.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N564AS,869,OGG,ANC,1600,1536,0.00,0.00,,352.00,2797.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N570AS,102,ANC,SEA,1555,1537,0.00,0.00,,172.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N570AS,135,ANC,BRW,1000,0949,0.00,0.00,,115.00,725.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N570AS,50,BRW,ANC,1245,1239,0.00,0.00,,87.00,725.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N577AS,69,KTN,JNU,2050,2008,0.00,0.00,,37.00,234.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N577AS,69,SEA,KTN,1900,1852,0.00,0.00,,90.00,680.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N584AS,90,ANC,SEA,0950,0946,0.00,0.00,,174.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N585AS,82,ANC,SEA,0600,0548,0.00,0.00,,174.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N607AS,100,ANC,SEA,1455,1506,11.00,0.00,,171.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N607AS,95,SEA,ANC,1015,1006,0.00,0.00,,202.00,1448.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N611AS,151,ANC,OME,1025,1015,0.00,0.00,,80.00,539.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N611AS,152,OME,ANC,1250,1230,0.00,0.00,,70.00,539.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N611AS,66,ANC,CDV,1510,1456,0.00,0.00,,31.00,160.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N611AS,66,CDV,YAK,1652,1617,0.00,0.00,,35.00,213.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N611AS,66,JNU,SEA,2005,1954,0.00,0.00,,120.00,909.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N611AS,66,YAK,JNU,1829,1755,0.00,0.00,,41.00,198.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N611AS,73,JNU,ANC,0745,0734,0.00,0.00,,99.00,571.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N611AS,73,SIT,JNU,0615,0600,0.00,0.00,,24.00,95.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N613AS,154,OTZ,ANC,1320,1327,7.00,0.00,,68.00,548.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N613AS,165,ANC,OTZ,1050,1041,0.00,0.00,,89.00,548.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N613AS,47,ANC,ADQ,0655,0647,0.00,0.00,,39.00,253.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N613AS,48,ADQ,ANC,0850,0833,0.00,0.00,,43.00,253.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N613AS,533,ANC,SCC,1545,1536,0.00,0.00,,95.00,626.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N613AS,538,SCC,ANC,1815,1753,0.00,0.00,,76.00,626.00,
2021,1,2,2/1/2021 12:00:00 AM,AS,N614AS,65,JNU,ANC,1310,1248,0.00,0.00,,94.00,571.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,AS,N614AS,65,KTN,WRG,0900,0859,0.00,0.00,,21.00,82.00,
