YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2021,1,1,1/1/2021 12:00:00 AM,AS,N214AK,90,ANC,SEA,1005,0958,0.00,0.00,,189.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N215AK,84,ANC,SEA,0720,0714,0.00,0.00,,184.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N224AK,124,FAI,SEA,1525,1512,0.00,0.00,,185.00,1533.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N224AK,1465,SEA,FAI,1135,1121,0.00,0.00,,189.00,1533.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N224AK,82,ANC,SEA,0600,0548,0.00,0.00,,196.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N268AK,175,SEA,ANC,2020,2027,7.00,0.00,,192.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N272AK,69,KTN,JNU,2050,2031,0.00,0.00,,40.00,234.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N272AK,69,SEA,KTN,1900,1850,0.00,0.00,,92.00,680.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N275AK,87,SEA,ANC,1005,0954,0.00,0.00,,174.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N275AK,98,ANC,SEA,1350,1341,0.00,0.00,,178.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N280AK,223,SEA,FAI,2130,2122,0.00,0.00,,202.00,1533.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N281AK,156,FAI,SEA,0130,0141,11.00,0.00,,197.00,1533.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,AS,N282AK,110,ANC,SEA,0030,0023,0.00,0.00,,184.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N290AK,107,SEA,ANC,1750,1742,0.00,0.00,,185.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N433AS,325,PDX,ANC,2110,2108,0.00,0.00,,202.00,1542.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N457AS,71,SEA,JNU,1545,1554,9.00,0.00,,116.00,909.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N464AS,106,ANC,SEA,1750,1739,0.00,0.00,,174.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N464AS,97,SEA,ANC,1400,1359,0.00,0.00,,185.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N467AS,111,SEA,ANC,1920,1915,0.00,0.00,,185.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N481AS,136,ANC,PDX,0115,0109,0.00,0.00,,202.00,1542.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N483AS,83,SEA,ANC,0715,0711,0.00,0.00,,178.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N483AS,94,ANC,SEA,1140,1132,0.00,0.00,,189.00,1448.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N495AS,193,LAX,ANC,1955,1947,0.00,0.00,,303.00,2345.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N516AS,150,ANC,LAX,2340,2330,0.00,0.00,,274.00,2345.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N516AS,45,ANC,BET,1820,1811,0.00,0.00,,56.00,399.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N516AS,46,BET,ANC,2035,2009,0.00,0.00,,60.00,399.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N536AS,119,SEA,ANC,2115,2115,0.00,0.00,,190.00,1448.00,
